11.2022	119388	3184787	864,000		สร			
11.2022	119388	3180974	464,400		สร			
11.2022	119388	3187428	9292,800		สร			
11.2022	119388	3052007	7551,600		สร			
11.2022	119388	3052069	8393,600		สร			
11.2022	119388	3186522	9251,100		สร			
11.2022	119388	3186390	242,200		สร			
11.2022	119388	3186380	1670,400		สร			
11.2022	119388	3456572	9848,400		สร			
11.2022	119388	1558855	204,000		สร			
11.2022	119388	3186387	1137,500		สร			
11.2022	119388	3187433	70,400		สร			
11.2022	119388	3187552	7472,700		สร			
11.2022	119388	3187553	1661,000		สร			
11.2022	119388	3187548	927,500		สร			
11.2022	119388	1640264	17,000		สร			
11.2022	119388	3187558	1949,400		สร			
11.2022	119388	1637635	34,000		สร			
11.2022	119388	3186530	551,800		สร			
11.2022	119388	3187560	3974,000		สร			
11.2022	119388	3132749	842,800		สร			
11.2022	119388	3129165	720,000		สร			
11.2022	119388	3457564	3268,290		สร			
11.2022	119388	3462807	59120,000		สร			
11.2022	119388	3432092	8448,000		สร			
11.2022	119388	3431099	16944,000		สร			
11.2022	119388	3464716	2040,000		สร			
11.2022	119388	3468644	4368,000		สร			
11.2022	119388	3469640	6221,340		สร			
11.2022	119388	3144278	20900,000		สร			
11.2022	119388	1454966	1260,000		สร			
11.2022	119388	3240415	7020,000		สร			
11.2022	119388	3240861	875,000		สร			
11.2022	119388	3445087	9680,000		สร			
11.2022	119388	3446491	14960,000		สร			
11.2022	119388	3440187	16200,000		สร			
11.2022	119388	3459269	47880,000		สร			
11.2022	119388	3459270	10374,000		สร			
11.2022	119388	3459557	920,000		สร			
11.2022	119388	3459558	6335,000		สร			
11.2022	119388	3468623	38714,020		สร			
11.2022	119388	3140512	10175,000		สร			
11.2022	119388	1745316	2260,800		สร			
11.2022	119388	3465084	15752,000		สร			
11.2022	119388	157569	1225,000		สร			
11.2022	119388	3464213	12825,000		สร			
11.2022	119388	3464214	1384,000		สร			
11.2022	119388	1792587	555,960		สร			
11.2022	119388	1708250	900,000		สร			
11.2022	119388	1782082	3240,000		สร			
11.2022	119388	1456002	8640,000		สร			
11.2022	119388	3351243	510,000		สร			
11.2022	119388	1678967	180,000		สร			
11.2022	119388	1527410	220,000		สร			
11.2022	119388	19549	2775,000		สร			
11.2022	119388	3418218	3302,550		สร			
11.2022	119388	19110	680,000		สร			
11.2022	119388	182672	1700,000		สร			
11.2022	119388	19106	1800,000		สร			
11.2022	119388	3458797	7140,000		สร			
11.2022	119388	19125	30240,000		สร			
11.2022	119388	19123	30240,000		สร			
11.2022	119388	18114	1800,000		สร			
11.2022	119388	19154	170,000		สร			
11.2022	119388	17416	3060,000		สร			
11.2022	119388	3444454	6800,000		สร			
11.2022	119388	17799	20700,000		สร			
11.2022	119388	17831	4680,000		สร			
11.2022	119388	19117	180,000		สร			
11.2022	119388	18819	1530,000		สร			
11.2022	119388	18804	2550,000		สร			
11.2022	119388	17821	7380,000		สร			
11.2022	119388	187548	360,000		สร			
11.2022	119388	187682	540,000		สร			
11.2022	119388	18773	1530,000		สร			
11.2022	119388	18763	720,000		สร			
11.2022	119388	19026	180,000		สร			
11.2022	119388	17337	7480,000		สร			
11.2022	119388	13716	5400,000		สร			
11.2022	119388	3433986	1020,000		สร			
11.2022	119388	3344790	2709,075		สร			
11.2022	119388	1599658	753,600		สร			
11.2022	119388	1595287	43,000		สร			
11.2022	119388	207480	2521,530		สร			
11.2022	119388	3462363	2064,000		สร			
11.2022	119388	3255225	270,000		สร			
11.2022	119388	1454960	18,000		สร			
11.2022	119388	1454963	2,400		สร			
11.2022	119388	1683006	1944,000		สร			
11.2022	119388	1720234	34,000		สร			
11.2022	119388	1534458	18,000		สร			
11.2022	119388	1338295	42,770		สร			
11.2022	119388	3462810	4377,600		สร			
11.2022	119388	3237889	303,116		สร			
11.2022	119388	3148646	13,696		สร			
11.2022	119388	3240635	7704,000		สร			
11.2022	119388	17430	648,000		สร			
11.2022	119388	13105	388,800		สร			
11.2022	119388	202071	86,400		สร			
11.2022	119388	202069	345,600		สร			
11.2022	119388	187747	18,000		สร			
11.2022	119388	187758	1,600		สร			
11.2022	119388	13103	140,400		สร			
11.2022	119388	17901	648,000		สร			
11.2022	119388	17429	432,000		สร			
11.2022	119388	187716	403,200		สร			
11.2022	119388	18723	54,000		สร			
11.2022	119388	201401	108,000		สร			
11.2022	119388	13120	14,400		สร			
11.2022	119388	13119	140,400		สร			
11.2022	119388	202015	46,800		สร			
11.2022	119388	202014	324,000		สร			
11.2022	119388	3240877	20400,000		สร			
11.2022	119388	3450945	60,000		สร			
11.2022	119388	3138028	5,000		สร			
11.2022	119388	3472487	191,000		สร			
11.2022	119388	3458779	81200,000		สร			
01.11.2022	119388	1495994	11560,000		สร			
01.11.2022	119388	3462807	10032,000		สร			
01.11.2022	119388	3459269	2880,000		สร			
01.11.2022	119388	193127	680,000		สร			
01.11.2022	119388	1683355	180,000		สร			
01.11.2022	119388	1708250	180,000		สร			
01.11.2022	119388	3240655	3570,000		สร			
01.11.2022	119388	1779443	1225,000		สร			
01.11.2022	119388	3180679	4,800		สร			
01.11.2022	119388	203936	720,000		สร			
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
