09.2022	119388	3052007	1513,800		สร		
09.2022	119388	3186522	1333,800		สร		
09.2022	119388	3186390	6643,200		สร		
09.2022	119388	3186380	8473,800		สร		
09.2022	119388	3456572	9848,400		สร		
09.2022	119388	1558855	204,000		สร		
09.2022	119388	3186387	7857,500		สร		
09.2022	119388	3187433	915,200		สร		
09.2022	119388	3187552	85,500		สร		
09.2022	119388	3187548	52,500		สร		
09.2022	119388	1640264	17,000		สร		
09.2022	119388	1637635	34,000		สร		
09.2022	119388	3186531	1032,400		สร		
09.2022	119388	3189072	398,400		สร		
09.2022	119388	3132749	4196,800		สร		
09.2022	119388	3129165	6840,000		สร		
09.2022	119388	1454966	720,000		สร		
09.2022	119388	3240861	875,000		สร		
09.2022	119388	3148649	350,000		สร		
09.2022	119388	3440187	16200,000		สร		
09.2022	119388	3459269	3060,000		สร		
09.2022	119388	3459270	27664,000		สร		
09.2022	119388	3459557	4968,000		สร		
09.2022	119388	3459558	33123,000		สร		
09.2022	119388	3140512	10175,000		สร		
09.2022	119388	1745316	2260,800		สร		
09.2022	119388	157569	1225,000		สร		
09.2022	119388	227339	2160,000		สร		
09.2022	119388	3464213	25137,000		สร		
09.2022	119388	3464214	3460,000		สร		
09.2022	119388	1792587	555,960		สร		
09.2022	119388	227389	1760,000		สร		
09.2022	119388	1782082	3240,000		สร		
09.2022	119388	1456002	18180,000		สร		
09.2022	119388	1683353	1620,000		สร		
09.2022	119388	1678967	180,000		สร		
09.2022	119388	227382	3520,000		สร		
09.2022	119388	1527410	220,000		สร		
09.2022	119388	3418218	3302,550		สร		
09.2022	119388	19110	340,000		สร		
09.2022	119388	18711	890,400		สร		
09.2022	119388	182672	9860,000		สร		
09.2022	119388	3395345	1360,000		สร		
09.2022	119388	19035	680,000		สร		
09.2022	119388	19015	680,000		สร		
09.2022	119388	19013	1360,000		สร		
09.2022	119388	19106	1800,000		สร		
09.2022	119388	19125	720,000		สร		
09.2022	119388	19123	1080,000		สร		
09.2022	119388	18114	1800,000		สร		
09.2022	119388	19154	170,000		สร		
09.2022	119388	17414	6120,000		สร		
09.2022	119388	17416	3060,000		สร		
09.2022	119388	17831	4320,000		สร		
09.2022	119388	19117	2340,000		สร		
09.2022	119388	18819	1530,000		สร		
09.2022	119388	18804	2550,000		สร		
09.2022	119388	17821	7380,000		สร		
09.2022	119388	187548	360,000		สร		
09.2022	119388	187682	540,000		สร		
09.2022	119388	18773	2890,000		สร		
09.2022	119388	18107	1440,000		สร		
09.2022	119388	18763	720,000		สร		
09.2022	119388	19026	900,000		สร		
09.2022	119388	207621	3570,000		สร		
09.2022	119388	17337	21080,000		สร		
09.2022	119388	13716	7560,000		สร		
09.2022	119388	3433986	1020,000		สร		
09.2022	119388	3344790	2709,075		สร		
09.2022	119388	1599658	753,600		สร		
09.2022	119388	1595287	43,000		สร		
09.2022	119388	3099152	87,800		สร		
09.2022	119388	3206933	54,000		สร		
09.2022	119388	19188	348,000		สร		
09.2022	119388	3024941	18,000		สร		
09.2022	119388	1457655	4,800		สร		
09.2022	119388	3024952	18,000		สร		
09.2022	119388	1613715	18,000		สร		
09.2022	119388	1454960	18,000		สร		
09.2022	119388	1454963	2,400		สร		
09.2022	119388	3167409	20,400		สร		
09.2022	119388	1338295	42,770		สร		
09.2022	119388	3237889	303,116		สร		
09.2022	119388	3135992	12179,200		สร		
09.2022	119388	3240635	7704,000		สร		
09.2022	119388	19034	144,000		สร		
09.2022	119388	19037	75,600		สร		
09.2022	119388	19014	288,000		สร		
09.2022	119388	19012	108,000		สร		
09.2022	119388	13110	216,000		สร		
09.2022	119388	13109	108,000		สร		
09.2022	119388	19005	54,000		สร		
09.2022	119388	19007	72,000		สร		
09.2022	119388	3395342	270,000		สร		
09.2022	119388	3395344	547,200		สร		
09.2022	119388	17430	648,000		สร		
09.2022	119388	13105	388,800		สร		
09.2022	119388	202071	86,400		สร		
09.2022	119388	202069	345,600		สร		
09.2022	119388	187747	18,000		สร		
09.2022	119388	187758	1,600		สร		
09.2022	119388	19043	468,000		สร		
09.2022	119388	13103	140,400		สร		
09.2022	119388	17901	648,000		สร		
09.2022	119388	17429	432,000		สร		
09.2022	119388	17428	162,000		สร		
09.2022	119388	13111	108,000		สร		
09.2022	119388	13112	288,000		สร		
09.2022	119388	187716	403,200		สร		
09.2022	119388	201558	648,000		สร		
09.2022	119388	17407	648,000		สร		
09.2022	119388	13691	648,000		สร		
09.2022	119388	18723	54,000		สร		
09.2022	119388	201401	108,000		สร		
09.2022	119388	13120	14,400		สร		
09.2022	119388	13119	529,200		สร		
09.2022	119388	202015	46,800		สร		
09.2022	119388	202014	378,000		สร		
01.09.2022	119388	203951	9900,000		สร		
01.09.2022	119388	193127	19890,000		สร		
02.09.2022	119388	193127	108630,000		สร		
02.09.2022	119388	203951	10080,000		สร		
02.09.2022	119388	3186522	9849,600		สร		
03.09.2022	119388	132610	25740,000		สร		
03.09.2022	119388	199480	30600,000		สร		
03.09.2022	119388	3099319	17150,000		สร		
03.09.2022	119388	3186390	4152,000		สร		
03.09.2022	119388	203951	10080,000		สร		
03.09.2022	119388	143938	17000,000		สร		
03.09.2022	119388	143936	22940,000		สร		
03.09.2022	119388	3186531	2563,200		สร		
04.09.2022	119388	143936	39220,000		สร		
04.09.2022	119388	132619	2035,000		สร		
04.09.2022	119388	3435822	79100,000		สร		
04.09.2022	119388	19123	15840,000		สร		
04.09.2022	119388	19125	15840,000		สร		
05.09.2022	119388	3435822	85225,000		สร		
05.09.2022	119388	1620696	39440,000		สร		
05.09.2022	119388	203951	9720,000		สร		
05.09.2022	119388	19125	15840,000		สร		
05.09.2022	119388	19123	15840,000		สร		
05.09.2022	119388	19549	2220,000		สร		
05.09.2022	119388	1708250	2520,000		สร		
05.09.2022	119388	3442674	660,000		สร		
05.09.2022	119388	3099319	2100,000		สร		
06.09.2022	119388	3454622	39420,000		สร		
06.09.2022	119388	3099319	32025,000		สร		
06.09.2022	119388	3186390	8304,000		สร		
06.09.2022	119388	203951	-360,000		สร		
06.09.2022	119388	203957	9900,000		สร		
06.09.2022	119388	3435821	51100,000		สร		
07.09.2022	119388	3435821	92400,000		สร		
07.09.2022	119388	193127	40800,000		สร		
07.09.2022	119388	3052007	10022,400		สร		
07.09.2022	119388	203957	9720,000		สร		
07.09.2022	119388	143938	-850,000		สร		
08.09.2022	119388	3435821	81200,000		สร		
08.09.2022	119388	3052007	9744,000		สร		
08.09.2022	119388	203957	19800,000		สร		
08.09.2022	119388	193127	35530,000		สร		
08.09.2022	119388	3186522	4104,000		สร		
08.09.2022	119388	227349	900,000		สร		
08.09.2022	119388	3465084	15752,000		สร		
08.09.2022	119388	3202097	2265,210		สร		
09.09.2022	119388	3435821	31850,000		สร		
09.09.2022	119388	193127	21250,000		สร		
09.09.2022	119388	3099319	41125,000		สร		
09.09.2022	119388	3435822	52500,000		สร		
10.09.2022	119388	3435822	108675,000		สร		
10.09.2022	119388	3099319	19950,000		สร		
10.09.2022	119388	3454622	12960,000		สร		
11.09.2022	119388	3454622	50220,000		สร		
11.09.2022	119388	203957	9900,000		สร		
11.09.2022	119388	3187560	6014,400		สร		
11.09.2022	119388	187432	20165,000		สร		
11.09.2022	119388	187435	3400,000		สร		
11.09.2022	119388	185962	16380,000		สร		
11.09.2022	119388	3435822	40075,000		สร		
12.09.2022	119388	3435822	35350,000		สร		
12.09.2022	119388	3454622	9360,000		สร		
12.09.2022	119388	203939	9350,000		สร		
12.09.2022	119388	132611	32400,000		สร		
12.09.2022	119388	3186530	7689,600		สร		
12.09.2022	119388	3435821	13300,000		สร		
12.09.2022	119388	3265639	16431,200		สร		
12.09.2022	119388	3432091	45672,000		สร		
13.09.2022	119388	1721166	10080,000		สร		
13.09.2022	119388	3435821	85925,000		สร		
13.09.2022	119388	3052007	10022,400		สร		
13.09.2022	119388	3030946	30600,000		สร		
13.09.2022	119388	3440083	1600,000		สร		
13.09.2022	119388	3440078	7000,000		สร		
14.09.2022	119388	207621	14960,000		สร		
14.09.2022	119388	3435821	20300,000		สร		
14.09.2022	119388	3187552	10670,400		สร		
14.09.2022	119388	143936	45140,000		สร		
14.09.2022	119388	203939	9350,000		สร		
14.09.2022	119388	143938	850,000		สร		
14.09.2022	119388	3030946	15640,000		สร		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
