12.2022	119388	3187431	3114,600		สร				
12.2022	119388	3126681	17,600		สร				
12.2022	119388	3180974	464,400		สร				
12.2022	119388	3187428	2534,400		สร				
12.2022	119388	3052007	9378,600		สร				
12.2022	119388	3187426	5846,400		สร				
12.2022	119388	3052069	2614,400		สร				
12.2022	119388	3186522	3505,500		สร				
12.2022	119388	3186390	2733,400		สร				
12.2022	119388	3186380	1670,400		สร				
12.2022	119388	3456572	9848,400		สร				
12.2022	119388	1558855	204,000		สร				
12.2022	119388	3186387	3657,500		สร				
12.2022	119388	3187433	70,400		สร				
12.2022	119388	3187552	1658,700		สร				
12.2022	119388	3187548	52,500		สร				
12.2022	119388	1640264	17,000		สร				
12.2022	119388	3187558	6600,600		สร				
12.2022	119388	1637635	34,000		สร				
12.2022	119388	3186530	445,000		สร				
12.2022	119388	3186531	854,400		สร				
12.2022	119388	3187560	465,000		สร				
12.2022	119388	3187561	18,000		สร				
12.2022	119388	3132749	17,200		สร				
12.2022	119388	227325	360,000		สร				
12.2022	119388	3129165	720,000		สร				
12.2022	119388	3445073	42099,000		สร				
12.2022	119388	3468614	4821,600		สร				
12.2022	119388	3461049	10440,000		สร				
12.2022	119388	3473425	27150,200		สร				
12.2022	119388	3468364	6480,000		สร				
12.2022	119388	3461009	27840,000		สร				
12.2022	119388	3457564	3096,170		สร				
12.2022	119388	3462355	14480,000		สร				
12.2022	119388	3432093	13650,000		สร				
12.2022	119388	3432095	11895,000		สร				
12.2022	119388	3462807	70400,000		สร				
12.2022	119388	3432092	6300,000		สร				
12.2022	119388	3462861	10010,000		สร				
12.2022	119388	3482077	31856,000		สร				
12.2022	119388	3464716	680,000		สร				
12.2022	119388	3468644	4368,000		สร				
12.2022	119388	3237890	26269,520		สร				
12.2022	119388	3472657	1380,880		สร				
12.2022	119388	3469625	8085,070		สร				
12.2022	119388	3469624	41692,080		สร				
12.2022	119388	3474368	184,000		สร				
12.2022	119388	1454966	1260,000		สร				
12.2022	119388	3240861	875,000		สร				
12.2022	119388	3474097	6800,000		สร				
12.2022	119388	3440187	15120,000		สร				
12.2022	119388	3459269	43200,000		สร				
12.2022	119388	3459557	920,000		สร				
12.2022	119388	3469082	12035,888		สร				
12.2022	119388	3465084	15752,000		สร				
12.2022	119388	157569	1225,000		สร				
12.2022	119388	3464213	11457,000		สร				
12.2022	119388	3464214	692,000		สร				
12.2022	119388	1792587	555,960		สร				
12.2022	119388	1708250	720,000		สร				
12.2022	119388	1782082	3240,000		สร				
12.2022	119388	1456002	8640,000		สร				
12.2022	119388	3351243	510,000		สร				
12.2022	119388	1683355	180,000		สร				
12.2022	119388	1527410	220,000		สร				
12.2022	119388	19549	2775,000		สร				
12.2022	119388	3418218	3302,550		สร				
12.2022	119388	19110	11900,000		สร				
12.2022	119388	182672	1020,000		สร				
12.2022	119388	19106	1800,000		สร				
12.2022	119388	3458797	7140,000		สร				
12.2022	119388	19125	32760,000		สร				
12.2022	119388	19123	15840,000		สร				
12.2022	119388	18114	1800,000		สร				
12.2022	119388	19154	170,000		สร				
12.2022	119388	17416	3060,000		สร				
12.2022	119388	3444454	6800,000		สร				
12.2022	119388	17799	8820,000		สร				
12.2022	119388	17831	3960,000		สร				
12.2022	119388	19117	180,000		สร				
12.2022	119388	18819	1530,000		สร				
12.2022	119388	18804	2550,000		สร				
12.2022	119388	17821	7380,000		สร				
12.2022	119388	187548	360,000		สร				
12.2022	119388	187682	540,000		สร				
12.2022	119388	18773	1530,000		สร				
12.2022	119388	18760	540,000		สร				
12.2022	119388	18763	720,000		สร				
12.2022	119388	19026	180,000		สร				
12.2022	119388	17337	7480,000		สร				
12.2022	119388	13716	5400,000		สร				
12.2022	119388	3433986	1020,000		สร				
12.2022	119388	3344790	2709,075		สร				
12.2022	119388	1599658	753,600		สร				
12.2022	119388	1595287	43,000		สร				
12.2022	119388	3462363	2064,000		สร				
12.2022	119388	3255225	270,000		สร				
12.2022	119388	1454960	18,000		สร				
12.2022	119388	1454963	2,400		สร				
12.2022	119388	3180679	4,800		สร				
12.2022	119388	1683006	1944,000		สร				
12.2022	119388	1720234	34,000		สร				
12.2022	119388	1534458	18,000		สร				
12.2022	119388	207465	163,008		สร				
12.2022	119388	1338295	42,770		สร				
12.2022	119388	3462810	4377,600		สร				
12.2022	119388	3148646	13,696		สร				
12.2022	119388	3240635	7704,000		สร				
12.2022	119388	17430	648,000		สร				
12.2022	119388	13105	388,800		สร				
12.2022	119388	202071	86,400		สร				
12.2022	119388	202069	345,600		สร				
12.2022	119388	187747	18,000		สร				
12.2022	119388	187758	1,600		สร				
12.2022	119388	13103	140,400		สร				
12.2022	119388	17901	648,000		สร				
12.2022	119388	17429	432,000		สร				
12.2022	119388	187716	403,200		สร				
12.2022	119388	18723	54,000		สร				
12.2022	119388	201401	108,000		สร				
12.2022	119388	13120	14,400		สร				
